item;type;poids_g;longueur_cm;largeur_cm;couleur;saveur
tomate;légume;113,63;5,17;5,38;rouge;acide
orange;fruit;153,74;8,56;7,45;orange;
courgette;légume;;22,77;5,82;vert;amer
orange;fruit;170,37;8,18;;orange;acide
kiwi;fruit;75,58;6,05;4,55;vert;acide
orange;fruit;;8,08;;orange;sucré
orange;fruit;165,1;8,2;;orange;sucré
tomate;légume;117,82;5,34;6,49;rouge;acide
courgette;légume;386,95;24,8;6,28;vert;amer
carotte;légume;108,93;17,49;3,16;orange;neutre
concombre;légume;279,8;16,89;5,07;vert;neutre
courgette;légume;402,73;24,4;5,11;vert;amer
orange;fruit;144,0;9,45;;orange;acide
orange;fruit;175,14;7,6;7,56;orange;sucré
pomme;fruit;178,79;6,8;6,77;vert;sucré
carotte;légume;83,37;17,96;2,92;orange;neutre
kiwi;fruit;74,92;6,7;4,87;jaune;acide
carotte;légume;109,76;18,8;3,87;orange;neutre
courgette;légume;371,48;26,73;6,52;vert;amer
pomme;fruit;164,43;7,31;6,34;rouge;acide
tomate;légume;112,33;5,58;5,81;rouge;acide
tomate;légume;133,9;6,18;6,38;rouge;
banane;fruit;129,84;21,37;3,71;jaune;sucré
pomme;fruit;180,22;6,97;6,67;jaune;acide
tomate;légume;118,06;6,11;5,62;rouge;acide
courgette;légume;421,03;24,14;5,14;vert;amer
pomme;fruit;157,04;7,64;7,52;vert;sucré
pomme;fruit;174,85;7,64;7,65;vert;acide
kiwi;fruit;89,97;5,78;4,88;vert;acide
pomme;fruit;191,08;6,88;8,03;rouge;sucré
kiwi;fruit;76,41;6,1;4,48;jaune;acide
kiwi;fruit;75,79;6,07;5,16;vert;acide
concombre;légume;311,38;25,19;5,0;vert;neutre
pomme;fruit;147,71;;5,98;rouge;sucré
banane;fruit;128,41;18,66;3,5;;sucré
pomme;fruit;175,45;6,96;7,79;rouge;sucré
kiwi;fruit;80,85;5,9;5,6;jaune;acide
kiwi;fruit;78,35;5,72;4,73;jaune;acide
banane;fruit;109,16;22,59;3,89;jaune;sucré
orange;fruit;161,74;7,63;8,19;orange;acide
carotte;légume;100,84;16,21;;orange;neutre
tomate;légume;103,27;5,5;5,15;rouge;acide
concombre;légume;286,78;21,5;4,4;vert;neutre
concombre;légume;260,54;23,7;;vert;neutre
tomate;légume;101,07;5,79;6,22;rouge;acide
orange;fruit;168,79;7,24;8,63;orange;sucré
pomme;fruit;157,9;6,33;7,85;rouge;acide
kiwi;fruit;81,45;6,52;;jaune;acide
concombre;légume;;;4,27;vert;neutre
carotte;légume;84,85;19,24;2,85;orange;neutre
kiwi;fruit;80,46;5,99;4,59;vert;acide
carotte;légume;100,54;20,07;3,33;orange;neutre
courgette;légume;291,07;23,81;6,14;vert;amer
courgette;légume;314,53;23,42;5,53;vert;amer
carotte;légume;110,58;14,39;3,55;orange;neutre
courgette;légume;359,23;23,51;6,07;vert;amer
kiwi;fruit;85,83;5,93;4,87;jaune;acide
banane;fruit;139,58;19,02;4,49;jaune;sucré
banane;fruit;130,63;21,97;3,76;jaune;sucré
tomate;légume;80,73;5,93;6,71;rouge;acide
concombre;légume;323,34;21,69;3,97;vert;neutre
kiwi;fruit;74,79;5,53;5,42;jaune;
banane;fruit;140,55;19,07;3,58;jaune;sucré
kiwi;fruit;75,64;6,16;4,98;jaune;acide
pomme;fruit;154,31;7,24;7,15;rouge;sucré
banane;fruit;;22,29;3,71;jaune;sucré
banane;fruit;120,84;21,57;4,3;jaune;sucré
kiwi;fruit;80,43;5,46;5,39;vert;acide
courgette;légume;304,98;25,18;5,51;vert;
pomme;fruit;186,08;6,56;7,17;jaune;acide
kiwi;fruit;78,35;5,72;4,73;jaune;acide
orange;fruit;153,5;7,96;8,65;orange;sucré
pomme;fruit;175,09;7,06;6,68;vert;acide
kiwi;fruit;87,69;6,23;5,12;jaune;acide
banane;fruit;129,84;21,37;3,71;jaune;sucré
banane;fruit;150,89;19,06;3,96;jaune;sucré
banane;fruit;127,82;;3,47;jaune;sucré
banane;fruit;110,64;22,46;3,6;jaune;sucré
concombre;légume;259,83;20,46;4,98;vert;neutre
carotte;légume;107,21;17,39;3,48;orange;neutre
tomate;légume;111,06;6,12;6,13;rouge;acide
courgette;légume;391,02;25,16;6,09;vert;amer
kiwi;fruit;70,84;5,45;5,28;vert;acide
kiwi;fruit;75,78;5,8;4,9;vert;acide
carotte;légume;;18,09;3,19;orange;neutre
carotte;légume;83,56;17,05;3,38;orange;neutre
concombre;légume;281,33;20,66;5,5;vert;neutre
concombre;légume;246,95;24,73;4,97;vert;neutre
kiwi;fruit;90,61;6,49;5,04;jaune;acide
orange;fruit;145,25;8,87;8,01;orange;sucré
tomate;légume;97,82;6,32;5,88;rouge;acide
courgette;légume;320,29;22,81;5,27;vert;amer
pomme;fruit;141,95;;6,86;rouge;
pomme;fruit;170,86;7,14;6,72;jaune;sucré
orange;fruit;170,36;8,35;7,72;orange;acide
kiwi;fruit;97,16;6,36;5,39;vert;acide
concombre;légume;332,32;20,77;5,36;vert;neutre
banane;fruit;120,78;18,49;4,08;jaune;sucré
carotte;légume;77,23;22,85;2,67;orange;neutre
courgette;légume;;24,4;5,5;vert;amer
carotte;légume;87,08;20,27;3,24;orange;neutre
kiwi;fruit;86,08;6,42;4,96;vert;acide
carotte;légume;101,39;;3,31;orange;neutre
orange;fruit;164,93;8,53;8,35;orange;sucré
orange;fruit;158,28;7,55;7,8;orange;sucré
banane;fruit;151,84;20,86;3,77;jaune;sucré
concombre;légume;253,2;18,4;;vert;neutre
courgette;légume;262,26;23,75;5,26;vert;amer
carotte;légume;85,1;21,2;3,32;orange;neutre
tomate;légume;122,0;7,22;5,15;rouge;acide
tomate;légume;129,17;5,97;5,67;rouge;acide
pomme;fruit;152,39;6,61;7,45;vert;sucré
courgette;légume;302,46;23,64;5,81;;amer
courgette;légume;434,82;24,42;5,94;vert;amer
courgette;légume;329,1;26,55;;vert;amer
carotte;légume;77,52;16,9;2,94;orange;neutre
courgette;légume;334,07;26,16;6,43;vert;amer
kiwi;fruit;66,99;6,04;5,16;jaune;acide
banane;fruit;130,46;17,96;4,3;jaune;sucré
banane;fruit;157,76;20,06;3,71;jaune;sucré
tomate;légume;99,71;;5,89;rouge;acide
kiwi;fruit;94,77;5,77;;vert;acide
banane;fruit;118,16;20,3;3,82;jaune;sucré
kiwi;fruit;85,09;5,93;5,66;jaune;acide
orange;fruit;;8,63;8,13;orange;acide
kiwi;fruit;79,59;5,42;4,66;vert;acide
kiwi;fruit;75,98;5,5;4,78;vert;acide
tomate;légume;113,0;6,4;5,8;rouge;acide
banane;fruit;122,36;18,4;3,43;jaune;sucré
tomate;légume;113,06;5,97;5,35;rouge;acide
carotte;légume;101,24;18,92;2,93;orange;neutre
kiwi;fruit;80,5;;4,81;vert;acide
kiwi;fruit;72,94;5,43;4,68;vert;acide
pomme;fruit;170,65;7,85;6,69;rouge;acide
banane;fruit;140,83;19,15;;jaune;sucré
pomme;fruit;169,78;6,83;7,25;rouge;acide
carotte;légume;90,32;17,41;3,05;orange;neutre
kiwi;fruit;68,89;6,25;5,33;jaune;acide
tomate;légume;;6,56;6,39;rouge;acide
pomme;fruit;182,12;6,26;;rouge;sucré
concombre;légume;272,86;21,92;5,62;vert;neutre
pomme;fruit;161,33;6,79;7,46;jaune;sucré
tomate;légume;114,41;6,46;;rouge;acide
pomme;fruit;172,75;6,5;6,98;jaune;sucré
carotte;légume;;21,03;3,16;orange;neutre
orange;fruit;169,63;8,15;7,63;orange;sucré
pomme;fruit;161,76;7,43;6,81;vert;acide
kiwi;fruit;73,37;6,37;5,03;vert;acide
courgette;légume;;22,99;5,64;vert;amer
pomme;fruit;154,55;6,63;7,61;rouge;sucré
carotte;légume;80,9;18,42;3,48;orange;neutre
pomme;fruit;142,78;7,97;7,37;jaune;acide
concombre;légume;;25,81;4,77;vert;neutre
banane;fruit;125,33;18,9;;jaune;sucré
concombre;légume;258,73;24,23;5,02;vert;neutre
tomate;légume;98,37;6,08;6,62;rouge;acide
concombre;légume;322,41;20,38;5,37;vert;neutre
kiwi;fruit;77,6;5,74;5,21;vert;acide
kiwi;fruit;77,58;6,42;5,6;jaune;acide
pomme;fruit;;7,34;6,93;jaune;sucré
kiwi;fruit;77,45;5,68;5,43;vert;acide
kiwi;fruit;78,88;6,44;4,58;jaune;acide
kiwi;fruit;78,7;5,77;5,0;vert;acide
banane;fruit;129,32;19,16;3,56;jaune;sucré
tomate;légume;123,01;6,11;5,98;rouge;acide
kiwi;fruit;90,07;6,03;6,0;jaune;acide
concombre;légume;311,35;20,02;;vert;neutre
courgette;légume;423,35;25,95;5,93;vert;amer
pomme;fruit;161,28;6,55;6,72;vert;sucré
carotte;légume;91,79;17,87;3,12;orange;neutre
pomme;fruit;189,29;7,4;7,47;vert;acide
tomate;légume;113,73;6,17;5,97;rouge;acide
concombre;légume;;20,21;4,34;vert;neutre
kiwi;fruit;77,09;6,02;4,98;vert;acide
tomate;légume;136,84;6,69;5,98;rouge;acide
pomme;fruit;183,71;6,53;7,71;jaune;acide
courgette;légume;338,27;18,63;6,16;vert;amer
tomate;légume;116,57;6,68;5,31;rouge;acide
courgette;légume;393,27;25,53;6,46;vert;amer
tomate;légume;92,52;7,75;5,27;rouge;acide
tomate;légume;120,04;5,85;6,04;rouge;
orange;fruit;181,93;8,51;7,5;orange;acide
courgette;légume;395,52;27,15;6,27;vert;amer
pomme;fruit;146,25;7,21;6,68;jaune;acide
concombre;légume;345,21;20,41;4,52;vert;neutre
pomme;fruit;162,28;7,4;7,21;vert;sucré
concombre;légume;373,2;;5,57;vert;neutre
carotte;légume;90,9;18,7;3,08;orange;neutre
pomme;fruit;171,9;6,63;7,51;vert;sucré
courgette;légume;318,69;23,15;6,3;vert;amer
tomate;légume;114,82;6,35;5,95;rouge;
pomme;fruit;187,84;7,59;7,28;rouge;acide
carotte;légume;67,69;16,88;2,37;orange;neutre
carotte;légume;116,57;;3,24;orange;neutre
carotte;légume;81,3;15,69;3,34;orange;neutre
carotte;légume;87,35;15,77;3,46;orange;neutre
concombre;légume;312,06;23,38;3,81;vert;neutre
kiwi;fruit;87,99;5,91;5,42;jaune;acide
banane;fruit;150,89;19,06;3,96;jaune;sucré
banane;fruit;134,08;19,53;3,99;jaune;
tomate;légume;112,46;6,1;;rouge;acide
carotte;légume;66,73;;3,48;orange;neutre
tomate;légume;116,76;6,08;;rouge;acide
pomme;fruit;150,07;6,33;7,36;vert;acide
tomate;légume;94,25;5,22;5,33;rouge;acide
courgette;légume;358,48;29,69;6,65;vert;amer
banane;fruit;133,69;20,91;4,32;jaune;sucré
banane;fruit;129,75;19,76;3,81;jaune;sucré
kiwi;fruit;80,07;5,83;4,82;vert;acide
orange;fruit;170,88;7,23;8,79;orange;sucré
tomate;légume;97,73;7,04;6,25;rouge;acide
pomme;fruit;175,3;6,87;7,69;jaune;acide
orange;fruit;183,18;7,94;8,43;orange;sucré
courgette;légume;327,18;26,41;6,21;vert;amer
orange;fruit;164,5;7,37;6,73;;sucré
orange;fruit;145,73;7,85;8,02;orange;acide
orange;fruit;175,39;8,07;8,19;orange;acide
tomate;légume;112,01;6,11;6,21;rouge;acide
concombre;légume;219,73;20,42;4,8;vert;neutre
concombre;légume;263,9;20,53;5,14;vert;neutre
pomme;fruit;171,06;6,55;7,29;rouge;acide
concombre;légume;332,39;21,84;5,04;vert;neutre
courgette;légume;256,24;24,23;5,9;vert;amer
carotte;légume;;15,25;2,78;orange;neutre
tomate;légume;;6,6;6,3;rouge;acide
banane;fruit;133,11;18,67;4,1;jaune;sucré
carotte;légume;98,6;19,46;2,57;orange;
tomate;légume;98,43;6,25;5,64;rouge;acide
banane;fruit;131,88;22,86;4,32;jaune;sucré
kiwi;fruit;52,89;6,02;5,21;jaune;acide
banane;fruit;109,56;18,19;3,63;jaune;sucré
banane;fruit;125,37;18,38;4,07;jaune;sucré
orange;fruit;158,61;8,68;7,58;orange;acide
concombre;légume;211,43;21,19;5,23;vert;
kiwi;fruit;;5,94;4,74;vert;acide
courgette;légume;387,67;22,86;;vert;amer
carotte;légume;70,19;22,47;2,93;orange;neutre
tomate;légume;98,86;6,41;6,69;rouge;acide
concombre;légume;292,89;23,3;5,49;vert;neutre
orange;fruit;157,61;6,98;8,2;orange;sucré
courgette;légume;393,71;24,75;6,66;vert;amer
kiwi;fruit;;6,27;4,59;vert;acide
orange;fruit;161,91;7,46;8,31;orange;acide
pomme;fruit;164,92;7,12;6,71;vert;sucré
pomme;fruit;169,84;6,32;7,48;rouge;acide
carotte;légume;103,73;16,9;2,95;orange;neutre
courgette;légume;424,63;23,46;5,99;vert;amer
concombre;légume;292,62;20,79;3,9;vert;neutre
kiwi;fruit;81,5;6,21;5,12;vert;acide
tomate;légume;119,74;5,43;6,41;rouge;acide
pomme;fruit;182,2;6,94;6,72;rouge;sucré
pomme;fruit;167,65;7,7;6,59;rouge;sucré
tomate;légume;118,81;5,68;6,04;;acide
banane;fruit;135,39;21,47;3,51;jaune;sucré
concombre;légume;307,94;21,98;4,74;vert;neutre
tomate;légume;116,26;6,13;6,0;rouge;acide
banane;fruit;133,83;17,81;3,72;jaune;sucré
orange;fruit;176,64;7,82;6,44;orange;sucré
tomate;légume;119,47;5,76;5,8;rouge;acide
carotte;légume;101,63;15,21;2,1;orange;neutre
tomate;légume;101,09;6,31;5,39;rouge;acide
banane;fruit;128,3;20,06;4,21;jaune;sucré
kiwi;fruit;87,32;6,43;4,91;jaune;acide
courgette;légume;385,07;21,75;6,92;vert;amer
kiwi;fruit;76,57;5,18;5,05;jaune;acide
pomme;fruit;162,32;6,61;7,09;jaune;sucré
banane;fruit;126,45;20,62;3,86;jaune;sucré
pomme;fruit;168,14;7,49;6,98;rouge;acide
kiwi;fruit;78,39;5,94;4,95;vert;acide
tomate;légume;89,1;5,81;5,18;rouge;acide
tomate;légume;136,62;5,22;5,89;rouge;acide
carotte;légume;59,65;20,22;3,32;orange;neutre
pomme;fruit;177,85;6,94;7,4;rouge;sucré
orange;fruit;149,28;;7,12;;acide
concombre;légume;317,2;23,69;5,07;vert;neutre
banane;fruit;;22,05;4,3;jaune;sucré
courgette;légume;331,24;23,36;6,77;vert;amer
tomate;légume;112,04;6,0;5,96;rouge;acide
tomate;légume;124,65;5,68;6,49;rouge;acide
concombre;légume;335,97;;5,11;vert;neutre
banane;fruit;121,61;18,76;4,08;jaune;sucré
carotte;légume;111,86;14,95;3,51;orange;neutre
banane;fruit;118,1;21,63;4,33;jaune;sucré
pomme;fruit;189,61;;6,81;vert;acide
kiwi;fruit;75,59;5,65;4,71;jaune;acide
kiwi;fruit;70,07;6,58;4,93;vert;acide
kiwi;fruit;75,01;5,35;5,17;vert;acide
carotte;légume;110,26;16,69;2,68;orange;neutre
concombre;légume;215,73;20,69;5,52;vert;
orange;fruit;189,59;7,36;;orange;sucré
tomate;légume;96,24;5,94;6,32;rouge;acide
courgette;légume;367,43;24,63;5,47;vert;amer
concombre;légume;298,17;20,47;6,01;vert;neutre
courgette;légume;389,5;23,22;5,12;vert;amer
banane;fruit;116,61;19,96;3,64;jaune;sucré
courgette;légume;353,47;22,56;6,11;vert;amer
kiwi;fruit;80,58;5,57;4,93;vert;
carotte;légume;91,1;17,72;2,41;orange;neutre
courgette;légume;392,61;19,36;5,86;;amer
concombre;légume;400,98;21,85;4,85;vert;neutre
orange;fruit;;7,83;7,44;orange;sucré
concombre;légume;248,03;20,22;5,69;vert;neutre
tomate;légume;120,13;6,2;6,23;rouge;acide
pomme;fruit;174,17;6,85;7,35;jaune;acide
pomme;fruit;169,73;6,85;6,64;jaune;sucré
concombre;légume;327,25;22,31;5,86;vert;neutre
concombre;légume;325,25;;;vert;neutre
pomme;fruit;172,39;7,29;;rouge;acide
orange;fruit;161,33;8,23;7,59;orange;sucré
tomate;légume;89,91;5,82;5,82;rouge;acide
banane;fruit;;17,47;3,28;jaune;sucré
pomme;fruit;173,03;6,88;6,96;vert;sucré
tomate;légume;88,54;6,47;6,55;rouge;acide
pomme;fruit;;7,53;6,77;rouge;sucré
carotte;légume;77,45;19,21;2,93;orange;neutre
concombre;légume;338,84;20,77;4,04;vert;neutre
banane;fruit;119,51;18,2;3,92;;
courgette;légume;448,67;24,13;5,0;vert;amer
tomate;légume;78,5;7,27;6,27;rouge;acide
orange;fruit;151,77;9,0;8,77;orange;sucré
tomate;légume;115,46;6,38;6,83;rouge;acide
carotte;légume;98,16;19,28;3,18;orange;neutre
courgette;légume;353,7;22,96;5,64;vert;amer
pomme;fruit;159,28;6,87;7,41;rouge;sucré
tomate;légume;90,44;6,28;7,0;rouge;acide
carotte;légume;83,54;18,83;2,76;orange;neutre
banane;fruit;116,95;22,11;3,36;jaune;sucré
kiwi;fruit;94,39;5,71;5,66;vert;acide
courgette;légume;322,55;20,21;6,0;vert;amer
orange;fruit;167,0;8,81;7,72;orange;acide
courgette;légume;342,75;23,81;5,85;vert;amer
pomme;fruit;151,31;6,76;7,46;vert;sucré
banane;fruit;124,34;19,29;4,29;jaune;
kiwi;fruit;85,67;6,01;4,94;jaune;acide
kiwi;fruit;88,85;6,07;5,17;vert;acide
orange;fruit;163,74;8,0;8,97;orange;acide
carotte;légume;96,46;18,55;2,99;orange;neutre
kiwi;fruit;86,85;6,23;4,67;vert;acide
banane;fruit;132,18;20,03;3,57;jaune;sucré
banane;fruit;;24,39;4,12;jaune;sucré
tomate;légume;122,32;6,55;5,72;rouge;acide
banane;fruit;124,2;17,59;4,31;jaune;sucré
pomme;fruit;175,66;6,99;7,56;jaune;sucré
tomate;légume;100,34;6,54;4,92;rouge;acide
carotte;légume;100,54;20,07;3,33;orange;neutre
orange;fruit;134,54;7,64;8,78;orange;sucré
pomme;fruit;165,86;6,59;7,11;jaune;acide
kiwi;fruit;85,22;6,05;4,5;vert;acide
carotte;légume;96,54;21,99;2,69;orange;neutre
concombre;légume;;17,79;;vert;neutre
tomate;légume;126,32;6,09;6,49;rouge;acide
kiwi;fruit;79,35;6,25;4,75;vert;acide
orange;fruit;166,03;6,5;7,42;orange;sucré
pomme;fruit;173,65;7,36;7,59;vert;acide
pomme;fruit;184,01;6,78;7,66;rouge;sucré
courgette;légume;357,66;25,98;6,32;vert;amer
tomate;légume;108,05;6,35;6,03;rouge;acide
tomate;légume;139,39;5,41;5,46;rouge;acide
pomme;fruit;144,73;5,97;7,77;vert;sucré
pomme;fruit;195,04;6,53;7,81;vert;acide
kiwi;fruit;69,49;6,34;4,78;vert;acide
courgette;légume;397,38;28,48;;vert;amer
banane;fruit;109,97;21,27;3,82;jaune;
concombre;légume;308,79;19,04;4,01;vert;neutre
courgette;légume;306,1;22,35;5,86;vert;amer
pomme;fruit;187,91;6,83;7,21;rouge;sucré
tomate;légume;100,32;5,15;;rouge;acide
courgette;légume;405,9;24,26;5,15;vert;amer
orange;fruit;178,74;7,64;6,74;orange;sucré
kiwi;fruit;72,11;;5,57;vert;acide
concombre;légume;260,97;24,11;4,53;vert;neutre
carotte;légume;91,05;17,89;2,81;orange;neutre
courgette;légume;347,73;22,4;4,54;vert;amer
banane;fruit;129,71;18,01;4,27;jaune;sucré
kiwi;fruit;85,89;5,89;5,03;vert;acide
tomate;légume;108,3;5,76;5,59;rouge;acide
tomate;légume;120,48;5,98;6,46;rouge;acide
concombre;légume;218,59;23,46;5,54;vert;neutre
tomate;légume;110,11;;5,86;rouge;acide
orange;fruit;149,52;7,34;8,53;orange;acide
concombre;légume;301,15;24,56;5,1;vert;neutre
kiwi;fruit;81,94;;5,21;jaune;acide
concombre;légume;311,85;22,75;5,68;vert;neutre
pomme;fruit;164,61;6,47;5,95;jaune;sucré
kiwi;fruit;86,88;5,15;4,55;jaune;acide
kiwi;fruit;77,98;;5,03;vert;acide
tomate;légume;112,28;;6,93;rouge;acide
orange;fruit;164,08;8,91;7,7;orange;sucré
carotte;légume;88,45;18,53;2,77;orange;neutre
pomme;fruit;183,52;7,53;7,02;vert;sucré
tomate;légume;112,33;6,65;5,74;rouge;acide
carotte;légume;97,7;21,73;2,83;orange;neutre
pomme;fruit;147,0;6,3;6,96;jaune;acide
pomme;fruit;178,84;7,17;6,15;rouge;acide
concombre;légume;307,94;21,98;4,74;vert;neutre
carotte;légume;88,99;15,73;2,64;orange;neutre
banane;fruit;131,63;;3,99;jaune;sucré
concombre;légume;269,27;20,05;5,23;vert;neutre
pomme;fruit;186,74;6,68;7,47;jaune;acide
kiwi;fruit;72,22;;5,18;jaune;acide
pomme;fruit;175,43;7,07;6,44;vert;acide
tomate;légume;126,93;5,8;5,82;rouge;acide
concombre;légume;312,01;22,56;5,37;vert;neutre
concombre;légume;286,45;21,66;5,36;vert;neutre
concombre;légume;305,21;20,56;;vert;neutre
courgette;légume;257,45;25,89;6,21;vert;amer
pomme;fruit;188,38;6,91;6,5;jaune;acide
concombre;légume;292,25;;;vert;neutre
orange;fruit;143,22;8,91;8,81;orange;acide
courgette;légume;269,37;23,71;6,12;vert;amer
orange;fruit;185,79;9,1;7,55;orange;sucré
carotte;légume;104,48;18,39;2,76;orange;neutre
carotte;légume;51,39;17,49;3,09;orange;neutre
carotte;légume;95,65;19,62;2,74;orange;neutre
courgette;légume;337,13;20,66;6,24;vert;amer
concombre;légume;302,85;16,9;5,22;vert;neutre
banane;fruit;126,78;23,15;3,9;jaune;sucré
tomate;légume;124,61;6,67;5,37;rouge;acide
tomate;légume;124,61;6,13;;rouge;acide
orange;fruit;158,01;7,74;8,94;orange;sucré
carotte;légume;102,43;21,12;3,81;orange;neutre
orange;fruit;165,11;8,25;6,93;orange;acide
carotte;légume;81,75;18,82;3,5;orange;neutre
tomate;légume;96,37;6,35;5,62;rouge;acide
orange;fruit;149,31;6,61;8,11;orange;acide
carotte;légume;91,14;17,64;2,51;orange;neutre
tomate;légume;124,36;6,04;;rouge;acide
orange;fruit;160,79;;8,23;orange;sucré
banane;fruit;113,89;20,31;3,94;jaune;sucré
carotte;légume;99,61;18,79;2,84;orange;neutre
kiwi;fruit;88,6;6,08;4,57;jaune;acide
banane;fruit;141,19;18,93;4,03;jaune;sucré
orange;fruit;163,45;7,97;7,75;orange;acide
orange;fruit;175,19;7,78;7,71;orange;sucré
carotte;légume;57,83;19,07;3,42;orange;neutre
courgette;légume;387,11;22,96;7,13;vert;amer
concombre;légume;325,77;22,15;4,49;vert;neutre
carotte;légume;91,45;17,71;2,87;orange;neutre
banane;fruit;136,45;20,46;;jaune;sucré
pomme;fruit;193,76;8,15;6,84;vert;sucré
carotte;légume;78,95;;3,05;orange;neutre
carotte;légume;118,25;22,76;3,06;orange;neutre
tomate;légume;105,67;6,83;6,03;rouge;acide
banane;fruit;134,13;;4,46;jaune;sucré
pomme;fruit;176,53;6,85;6,63;vert;acide
pomme;fruit;176,59;7,39;;jaune;acide
orange;fruit;140,71;7,46;7,98;orange;sucré
banane;fruit;123,62;19,29;3,81;jaune;sucré
orange;fruit;171,5;7,34;8,5;orange;acide
concombre;légume;320,15;17,69;5,35;vert;neutre
tomate;légume;116,78;6,36;6,43;rouge;acide
